episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_attach_on,win_hf_qdot_on
1,0,0.013999999999999999,0.0016214964095436647,-0.0002638459719777192,0.00019958925624349172,6.61198295913391e-06,8.126833227924601e-06,-0.001938540361358071,0,0,0,1
2,0,-0.016,-0.0013220955214014217,0.001053258156997472,0.0020381726197275796,-1.8173648859524938e-06,2.7307365231899914e-05,-0.00022134234174400746,1,0,0,1
3,0,0.0,0.0,-0.0007752407322934168,0.00018946386678758698,4.314350836903528e-06,8.681832347338806e-06,-0.00176083958658374,0,0,0,1
4,0,0.1,0.006236746912810278,-0.0009627212515723599,0.0006669061854438461,1.3768522113466008e-05,2.101353533968145e-05,-0.012249846149456317,0,0,0,1
5,0,0.146,0.015584970111016226,-0.018035361286357382,-0.0015365871803774342,0.00015361747665467048,0.00040242812042687385,-0.052998807208857385,0,1,0,1
6,0,0.07800000000000007,0.005386740331491717,0.00276483488277654,0.0019487673547488663,1.5020171549891509e-05,2.855178563626083e-06,0.001418284925195662,0,0,0,0
7,0,-0.003999999999999997,-0.00033579583613163166,-0.0015940899530916264,0.00016056782966112487,-1.579100753110749e-06,3.350498244381571e-07,-0.004406485377841357,1,0,0,1
8,0,-0.128,-0.015303682448589193,0.010996721470589305,0.002334835269934884,-9.09046524107496e-05,-0.00029394088681240077,0.014237160240700042,1,0,1,0
9,0,0.208,0.01752021563342318,-0.0018284483714660904,0.002016044356212769,-2.762133265575995e-06,2.6494227118361614e-05,-0.0023275953376383496,0,0,0,1
10,0,0.0040000000000000036,0.00039354584809130327,0.005031726464503283,0.0006858008523906098,-1.6444913685316107e-05,-2.7602554764938033e-05,0.013705188675193908,0,0,1,0
11,0,-0.05,-0.0057444852941176475,-0.0011255180984190427,-1.18806881268807e-05,7.024065316401274e-06,1.60531311715629e-05,-0.0011201087223457196,1,1,0,1
12,0,-0.0040000000000000036,-0.0004486316733961406,-0.0003305552366733855,6.237408596397945e-05,-4.7304930021676173e-07,5.209969194823298e-06,-0.0029020257043473052,1,0,0,1
13,0,0.0,0.0,-0.0028799215901524067,0.00033700733451826753,-5.335875064139939e-06,-3.1982282801259142e-06,-0.006726015869703061,0,0,1,1
14,0,-0.026000000000000002,-0.003196459306614212,0.00394891805635611,-0.0002970389915532487,-2.5656378986913344e-05,-0.00012007767699449495,0.009049242414838038,1,1,1,0
15,0,-6.6000000000000005,-0.6154419992540097,-0.048498608712529784,-0.030661550243517403,2.6434387091181684e-05,0.00023199368162271124,-0.07099077295930745,1,1,0,1
16,0,0.018000000000000002,0.0019663535066637536,-0.0009804845857392386,0.00014035716469867898,2.7375938776698578e-06,9.931014446961338e-06,-0.004204531792664029,0,0,0,1
17,0,0.0,0.0,-0.0019643021069176148,0.00015160546118725415,-8.392651311701482e-07,4.582534142374311e-06,-0.004131873876119879,0,0,0,1
18,0,0.0,0.0,-0.001977789854591308,0.0001365917275835231,2.3733010022895665e-06,6.530274546294478e-06,-0.0035334636918956663,0,0,0,1
19,0,-0.01,-0.0009154155986818016,-0.0007571914128214757,0.00021670769829523762,-3.0293520053351324e-06,1.9493135477799753e-06,-0.0027104285207034118,1,0,0,1
20,0,-0.006000000000000005,-0.0005401512423478562,-0.001766799426188792,0.00013866686635607625,3.0617366567101904e-06,1.0668421005123694e-05,-0.002525937499577885,1,0,0,1
21,0,0.0,0.0,-0.0014355838578817004,0.0004012030300386167,-9.593988101880388e-06,7.754383981086518e-06,-0.006313737071476061,0,0,0,1
22,0,-0.009999999999999981,-0.001111852346008451,0.0003948415826074414,-3.503722672244455e-05,-1.277388926124428e-06,-4.123513458210819e-06,-0.004095506509963043,1,1,1,1
23,0,0.13200000000000003,0.007746478873239437,0.0005879487132452732,0.0031655962509512803,2.0372527310995054e-05,0.00010753514366676373,0.011721194592770906,0,0,0,0
24,0,-6.098,-0.4706699598641556,-0.014187158100681871,-0.023237647467726375,1.90830259057794e-05,2.0806243342660045e-05,-0.02030397142223256,1,1,0,1
25,0,-0.066,-0.006052824651504035,0.0017749490751892971,-0.004139912268156028,4.488564049997656e-07,7.03443354540742e-06,-0.023032414797299033,1,1,0,1
26,0,-0.08200000000000002,-0.005773021684032667,0.0009857670647209493,-0.0001572067711116676,-1.1261856182457654e-06,-1.5893863457628536e-05,0.001458393093522442,1,1,1,0
27,0,0.016000000000000014,0.0011191941801902625,0.002167115724849039,-0.000510374237138303,-5.028583972367662e-06,-1.838023565340621e-05,-0.009683808352877799,0,1,1,1
28,0,0.004,0.00043010752688172043,-0.0007351926168893963,0.00011657698303540326,2.1789661232518532e-06,7.705218298684788e-06,-0.0023020883604535636,0,0,0,1
29,0,0.0,0.0,-0.0005457988351157267,-0.00019372215383351224,-2.1401748646582112e-06,-1.6176267830417094e-06,-2.4978185209162396e-05,0,1,1,1
30,0,-0.001999999999999974,-0.00022276676319893038,0.00658730217014572,0.00013389602654031302,-4.493030501855652e-05,-0.00010594423553099213,0.002798652948370839,1,0,1,0
31,0,0.0,0.0,0.0002568635425305721,0.00021292884269562273,-1.750262634111089e-06,9.160889188226658e-06,-0.009298093470349184,0,0,0,1
32,0,0.0,0.0,-0.0015797884702480336,0.00013570630991478067,-2.894564054105645e-06,3.176815583431653e-06,-0.0019772094275478103,0,0,0,1
33,0,0.0,0.0,-0.0016599239399323062,0.0001470944428845697,2.7023853931707614e-06,6.495519209175895e-06,-0.0032913760971728656,0,0,0,1
34,1,-5.878,-0.5835980937251787,-0.05064112149472211,-0.04143613201324177,5.108838887174982e-05,0.00022215269185490115,-0.04328469109876337,1,1,0,1
35,0,-0.016000000000000014,-0.0010234105155430481,0.0046409532030987355,0.0016039618376352052,1.686826742572508e-05,2.0860549683155262e-05,0.01425819408442447,1,0,0,0
36,0,0.0,0.0,-0.001706824024670664,9.963510711942167e-05,1.0649232094010188e-06,8.775795137449898e-06,-0.0033180599997140736,0,0,0,1
37,0,-0.124,-0.009059029807130333,0.0010521083143619214,-0.012417966549078657,-2.998540464068636e-05,-9.628364219835196e-06,-0.014577967550239102,1,1,1,1
38,0,0.08199999999999985,0.007557603686635939,0.01604911399167311,0.0031754333748890556,-3.591672628457468e-05,-7.963246700359839e-05,0.02608584929201313,0,0,1,0
39,1,-0.41000000000000003,-0.04588182632050134,-0.11609956684171358,nan,-6.265469211485294e-05,nan,-0.06077673844831294,1,0,0,1
40,0,-0.008000000000000007,-0.0008415737428992213,-0.0009229937067412319,9.644738971461425e-05,3.516414658155968e-06,8.754175040369817e-06,-0.0028318941814147736,1,0,0,1
41,0,0.0,0.0,-0.0011714045180110516,0.00016578066515442538,-9.085583690404426e-07,1.2014932915296308e-06,-0.0029673919301783647,0,0,0,1
42,0,0.0,0.0,-0.00023978457382450857,-5.900326927920155e-05,1.8657497114831986e-06,-2.65596211193955e-06,-0.0017967992268169697,0,1,1,1
43,0,-0.254,-0.028791657220584903,0.013626682183600775,0.0039176934699890545,-7.120209761820695e-05,-0.000282055467026461,0.01463761627621174,1,0,1,0
44,0,-0.016000000000000014,-0.0015284677111195855,0.005278168866518301,0.0008015160629010268,-1.9784590172862958e-05,-1.2746827212120854e-05,0.006660672590008659,1,0,1,0
45,0,0.01200000000000001,0.00133838947133616,0.00013169943016436148,9.033515739478512e-05,-1.0812203552443582e-06,3.5441191693930682e-06,-0.004288684306691548,0,0,0,1
46,1,0.10200000000000001,0.011974641934726462,-0.037052686402554574,-0.008273502337154643,-0.00010411425417145492,0.00010484805503723903,-0.0015668749572426977,0,1,0,1
47,0,0.8279999999999994,0.06631427198462281,-0.0025860684108354737,0.0006969951353243131,3.6626435444478975e-05,-5.659597431841284e-07,-0.016737270811525318,0,0,1,1
48,0,0.0059999999999999915,0.0006669630947087595,0.005068291130930963,0.00014329131318887786,-2.2932978552259436e-05,-3.204449847280942e-05,0.009530380748437095,0,0,1,0
49,0,0.77,0.08961824953445065,0.010544079529837103,-0.016488413612493338,8.020511771299676e-06,-3.7473953796177996e-05,0.030376574562657133,0,1,1,0
50,0,0.0,0.0,-0.0019568414191250827,0.0002196155021386391,2.5785941388051454e-06,9.336075272975441e-06,-0.004307626648837354,0,0,0,1
51,0,0.0,0.0,-0.002084538868245611,0.00020943190570891362,-2.381823719611485e-06,6.08135507702243e-06,-0.00462651028117958,0,0,0,1
52,0,-0.062,-0.005224132119986518,-0.021166844507725643,-0.018557412029165186,1.987401063986943e-05,6.771149234782698e-05,-0.052869501382962675,1,1,0,1
53,0,0.0,0.0,-0.001553663912980674,0.0005308566478909524,3.177129094015878e-05,5.5738805436654384e-05,0.012063883463281688,0,0,0,0
54,0,0.0020000000000000018,0.0001113585746102437,0.0015159340039987285,0.0009598341077275627,2.4789089851584502e-05,2.08463024484049e-05,0.0033776312778593665,0,0,0,0
55,0,-5.988,-0.5165631469979296,-0.022905160395787688,-0.02674356771107001,4.615105504390089e-05,6.885600485520072e-05,-0.0313854956120406,1,1,0,1
56,0,-0.0020000000000000018,-0.00022011886418665805,-5.337964368315462e-06,0.00012079378435449206,-1.3123611825906212e-06,2.108200862431086e-06,-0.006896374277968492,1,0,0,1
57,0,0.08400000000000002,0.004514187446259671,-0.001709882901885812,0.0037743034549272206,5.28168189834683e-05,0.00012678994352937912,0.016753590346516634,0,0,0,0
58,0,0.01999999999999999,0.002405002405002403,-0.000261031849401544,0.0003306676304782215,8.90027322297544e-06,1.7272355946083514e-05,-0.00038016008386421163,0,0,0,1
59,0,-0.006000000000000005,-0.0006530256856769716,0.0005543182306323724,6.214629519413206e-05,-2.733612566652773e-07,2.6542976421146686e-07,-0.0064225052650649095,1,0,0,1
60,0,-0.006000000000000005,-0.0007175316909830178,-0.0002850885836203215,0.00046599592771576215,1.0377990057248206e-05,3.1544056887158986e-05,0.0037850181678058814,1,0,0,0
61,0,0.0,0.0,-0.0011139129674396508,-0.0004046889721937563,-5.298636648671433e-07,-7.979807608307973e-06,-0.002544139892455999,0,1,1,1
62,0,0.04800000000000004,0.0032863206901273465,0.0031776464749415922,-1.1552372154652324e-06,6.882253075500273e-06,-9.034368025704416e-06,-0.0023094706435283774,0,1,1,1
63,0,0.0,0.0,-0.0004409821806362624,-6.475078129840328e-05,-2.5283646907003953e-06,1.3856808020975132e-05,-0.0041709247243404135,0,1,0,1
64,0,0.0,0.0,-0.001441229246305728,9.474508731894399e-05,1.724806362962553e-06,8.80483961892154e-06,-0.004977193370287403,0,0,0,1
65,0,0.0,0.0,0.0004596353988576829,9.773302671028244e-05,-1.355098594908689e-06,9.881532756457001e-07,-0.004364076255574223,0,0,0,1
66,0,0.14400000000000002,0.017057569296375266,-0.021308346295673852,-0.00010378510949681646,-1.0148619085987957e-05,0.0001026093565936415,-0.05497097958467406,0,1,0,1
67,0,0.07,0.008816120906801008,-0.001500840444562987,-0.00026702467739697297,7.544042854322258e-07,4.330147018564404e-06,-0.007232149923283471,0,1,0,1
68,0,-0.108,-0.01227830832196453,-0.01736258484941791,-0.0033348406818341086,3.285455301373639e-05,0.00019600353832704718,-0.03496653087539586,1,1,0,1
69,0,0.0,0.0,5.1308934124416616e-05,0.00010421589418028662,-4.441187565938794e-06,1.030106201162001e-05,-0.005295123548919839,0,0,0,1
70,0,0.16599999999999948,0.013617719442165721,0.010214795204099042,0.0016110563673224637,-2.871864383386844e-05,-3.966198031544739e-05,0.010425418171956136,0,0,1,0
71,-1,-4.934000000000001,-0.5096054534187151,0.12313272382788107,nan,0.00016750279976044205,nan,0.022655369693598826,1,0,0,0
72,0,0.0,0.0,-0.0006572100607317305,0.00010665529887136233,7.803196473296853e-07,7.364290133803531e-06,-0.0049978442683776825,0,0,0,1
73,0,0.0,0.0,-0.0013252673366652562,0.0003516628361470986,-9.471727231303e-06,8.090393890713109e-06,-0.007790331534329037,0,0,0,1
74,0,0.04400000000000048,0.00414546824948181,0.002966812472835728,0.0006861415911000868,-1.0252077778204974e-05,-8.808320906794316e-07,0.003635668062249936,0,0,1,0
75,0,-0.010000000000000009,-0.0010778184953653819,-6.330172923160737e-05,6.500438288331578e-05,5.154298256158322e-07,3.306367958334929e-06,-0.008332034097760593,1,0,0,1
76,0,0.0,0.0,-0.0009169745711305743,0.00015028906108664059,-2.8055050450117094e-06,1.25605222479208e-06,-0.0019307276126432071,0,0,0,1
77,0,0.07200000000000006,0.005912300870422049,0.004239845089482858,0.0008997846497504902,-8.139349760218724e-06,3.880519271825785e-06,0.0033442101489569442,0,0,0,0
78,0,0.0020000000000000018,0.0002100840336134455,-0.0005434059978851047,0.00010906916556496782,1.740198304861322e-06,5.774698433829166e-06,-0.0009949381113756872,0,0,0,1
79,0,-0.038,-0.0028787878787878787,0.0048284717169453095,0.0048665251326588735,2.3215199321712497e-05,3.6892710298345164e-05,-0.004673262934370648,1,0,0,1
80,0,0.0020000000000000018,0.00019766752322593686,0.003933218651175963,0.00044922302613398246,-1.4146068969456702e-05,-1.0928686430522884e-05,0.002423693816728162,0,0,1,0
81,0,0.03,0.003360967958772127,-0.005226114507333096,0.00013429969420000742,2.66461285576854e-05,4.1825066312541775e-05,-0.04446999828005391,0,0,0,1
82,0,0.0,0.0,-0.0002910642396953128,-9.695529439194411e-06,2.050927655317331e-06,6.745711976334501e-08,-0.0029037307117376343,0,1,0,1
83,0,0.0,0.0,-0.00030362233905165126,0.0002498498429184537,-8.316004931357046e-06,6.769074386530575e-06,-0.005063605750395189,0,0,0,1
84,0,0.826,0.08714918759231904,0.004170709261509475,0.0010898090484326578,6.286203372516427e-05,-0.00022146938031821178,0.0015300832373677242,0,0,1,0
85,0,0.0040000000000000036,0.00048543689320388467,-0.000488716635999864,5.5754998055556476e-05,7.382190082527414e-06,1.2176964830827998e-05,-0.001169083449306385,0,0,0,1
86,0,-0.006000000000000005,-0.0003964583058015062,-0.0006366605555263166,0.00016375713169925962,-3.284614764340662e-07,2.9854460600441525e-06,-0.0024235740130269384,1,0,0,1
87,0,0.008000000000000007,0.0007852375343541419,0.010629992190925003,0.00048708568774489397,-4.025383637757578e-05,-4.243517202918946e-05,0.014946561601783342,0,0,1,0
88,0,0.0,0.0,0.010313739409851447,0.0006095224704492294,-3.569433568913194e-05,-5.092092263038418e-05,0.016964447160169926,0,0,1,0
89,0,0.038000000000000256,0.0034445250181290854,0.000911908351840407,0.0004783488562815977,5.960283914475863e-06,1.1091524121091762e-05,0.004169691040170731,0,0,0,0
90,0,0.0,0.0,-0.026132189338229528,0.0005137470728710965,-0.00010061630758252714,-7.796419823199443e-06,-0.03750832274462407,0,0,1,1
91,0,0.010000000000000002,0.000615460364352536,0.004628411040724284,0.0009902302657527617,5.505936525559366e-05,2.9933227814502776e-05,0.02479584576737634,0,0,0,0
92,0,-0.008,-0.0008288437629506839,-0.0006400114898125892,8.843723661072084e-05,1.5082333606383216e-06,7.623334089028799e-06,-0.0032647399527437337,1,0,0,1
93,0,0.0,0.0,-0.0005565491190057947,0.00013506805260664334,-3.7425507425668325e-06,7.756686733668397e-06,-0.0024504755781228904,0,0,0,1
94,0,0.0020000000000000018,0.00018261504747991292,0.001180984398858026,0.0005651987180318382,7.771802909180064e-06,4.1147474781903955e-07,-0.004092821897685256,0,0,0,1
95,0,0.009999999999999998,0.0006367804381049414,0.0034341102958355407,0.000884528624592297,2.0734084319198333e-05,1.224973573834328e-05,0.003923340843314055,0,0,0,0
96,0,0.020000000000000018,0.0011911852293031537,0.003262371711305889,0.00045340327587137935,-5.736036439592772e-07,-1.647591515468083e-05,-0.009090188115143644,0,0,1,1
97,0,-0.0040000000000000036,-0.00047449584816132775,0.0009403808788238099,-0.00020354660343656697,2.407883760455285e-07,-8.235009067700954e-06,-0.002727632176552919,1,1,1,1
98,0,0.038000000000000006,0.004012671594508976,-0.0005890003866928506,0.00026711330830512733,8.274225635242216e-07,1.0044284726472502e-05,-0.004755567597698462,0,0,0,1
99,0,-0.026000000000000002,-0.0029478458049886623,0.0001673925826490702,-1.8976011357418887e-05,3.5151889826051143e-07,-2.7781828264620244e-06,-0.002231601528592836,1,1,1,1
